Actor
IVANEK, ZELJKO
IVEY, DANA
IVEY, JUDITH
JACKSON, ANDREW (II)
JACKSON, DEE JAY
JACKSON, JESSE (I)
JACKSON, SAMUEL L.
JAGGER, MICK
JAMES, BRENDA (I)
JAMES, BRION (I)
JARRETT, PAUL (I)
JARSKY, JORIS
JEAN, WYCLEF
JEANNIN, MARCEL
JENKINS, RICHARD (I)
JENNINGS, BRENT (I)
JOFFRE, DAN
JOHANSSON, SCARLETT
JOHN, ELTON
JOHNSON, BEN (I)
JOHNSON, BROCK (I)
JOHNSON, ERIC (I)
JOHNSON, LEILA
JOHNSON, P. LYNN
JOHNSON, PENNY (I)
JOHNSTON, SHAUN (I)
JONES, JAMES EARL
JONES, MICKEY (I)
JONES, TY (I)
JORDAN, DON (I)
JOSHUA, LARRY
JOY, ROBERT (I)
KALUGIN, ALEXANDER
KANE, CAROL (I)
KAPELOS, JOHN
KARPLUK, ERIN
KATSULAS, ANDREAS
KAVNER, JULIE
KEAN, GREG
KEATING, FRED (II)
KEATON, DIANE
KEENLEYSIDE, ERIC
KEITEL, HARVEY
KELLERMAN, SALLY
KELLY, BRAD (I)
KELLY, DAVID PATRICK
KELLY, MATTHEW ROBERT
KELLY, TERENCE (I)
KENNEDY, GEORGE (I)
KENNEDY, JACQUELINE (I)
KENNEDY, JOHN F.
KENNEDY, MIMI
KENNEDY, ROBERT F.
KERRY, JOHN (III)
KERSHAW, ANNABEL
KERTON, PATRICK
KIDDER, MARGOT
KIDNIE, JAMES
KILMER, VAL
KILPATRICK, PATRICK
KIND, RICHARD
KING, ALAN (I)
KING, MARTIN LUTHER
KINNEY, TERRY
KIRKPATRICK, KATHRYN
KIRKWOOD, DENNY
KITT, EARTHA
KNIGHTLEY, KEIRA
KONOVAL, KARIN
KOPSA, MICHAEL
KORMAN, HARVEY
KOSTERMAN, MITCHELL
KOSTYUK, TARAS
KRAMER, KEN (I)
KRISTOFFERSON, KRIS (I)
KURTZ, MARCIA JEAN
KURTZ, SWOOSIE
LABELLE, ROB
LAHTI, CHRISTINE (I)
LANDAU, MARTIN
LANDERS, MATT
LANE, CAMPBELL
LANE, NATHAN (I)
LANG, STEPHEN (I)
LANGELLA, FRANK
LANSBURY, ANGELA
LASSER, LOUISE
LAURIE, DARCY
LEACHMAN, CLORIS
LEAKE, DAMIEN
LEARY, TIMOTHY
LEBLANC, PIERRE (I)
LEE, CHRISTOPHER (I)
LEE, JASON SCOTT
LEE, KAIULANI
LEGUIZAMO, JOHN
LEIBMAN, RON
LEMMON, JACK
LENNON, JOHN (I)
LENO, JAY
LENOIR, PIERRE (II)
LETTERMAN, DAVID
LEVY, PHILIP (I)
LEWIS, DAVID (IV)
LEWIS, GEOFFREY (I)
LEWIS, RICHARD (II)
LI, JET
LIBERTINI, RICHARD
LINDE, BETTY
LINNEY, LAURA
LIPTON, PEGGY
LITHGOW, JOHN (I)
LITTLE RICHARD
LIU, LUCY (I)
LLOYD, CHRISTOPHER (I)
LO BIANCO, TONY
LOPEZ, FREDRICK
LOUGH HAGGQUIST, CATHERINE
LU, LISA (I)
LUCAS, DONNY JAMES
LUCAS, GEORGE (I)
LUND, JORDAN
LYMAN, WILL
LYNCH, JANE (I)
LYNDECK, EDMUND
MACARIO, MIG
MACDONALD, WILLIAM (II)
MACKAY, DON (I)
MACLACHLAN, JANET
MACLAINE, SHIRLEY
MACLAREN, JOHN (I)
MADIGAN, AMY (I)
MADSEN, VIRGINIA
MAHAFFEY, VALERIE
MAHONEY, JOHN (I)
MAILER, STEPHEN
MALKOVICH, JOHN
MALTHE, NATASSIA
MANDELA, NELSON
MANKUMA, BLU
MANN, JOHN (II)
MANN, MICHAELA
MARCH, CRAIG (I)
MARGULIES, DAVID (I)
MARGULIES, JULIANNA
MARIN, CHEECH
MARKINSON, BRIAN
MARSH, WALTER
MARTIN, HELEN (II)
MARTIN, RALPH P.
MARTIN, STEVE (I)
MARTINEZ, A
MARTINEZ, ALMA (I)
MARVEL, ELIZABETH
MASTERSON, CHRISTOPHER (I)
MASTERSON, DANNY
MATHEWS, HROTHGAR
MATTHAU, WALTER
MATTHEWS, DAKIN
MAXIE, JUDITH
MAY, JOSEPH
MCCARTHY, ANDREW (I)
MCCARTHY, BART (I)
MCCARTHY, FRANCIS X.
MCCARTHY, JOSEPH (II)
MCCARTHY, KEVIN (I)
MCCARTNEY, PAUL
MCCLANAHAN, RUE
MCCLURG, EDIE
MCDANIEL, JAMES (I)
MCDERMOTT, DYLAN
MCDOWALL, RODDY
MCGILL, BRUCE
MCGRAW, MELINDA
MCHATTIE, STEPHEN
MCKENZIE, DEAN (I)
MCKINNEY, BILL (I)
MCNULTY, KEVIN (I)
MCQUAID, KENT
MCRANEY, GERALD
MCROBBIE, PETER
MCSHANE, IAN
